ID,Feature / Area,Page / Route,Description,Priority,Status,Environment,Last Updated,Test Instructions,Notes,,
TASK-073,UI/UX - Map,/listings,Implement full-bleed map layout on desktop and mobile (map filling most of the screen),High,Planned,Both,11/30/2025,1) Design full-bleed map layout. 2) Implement on desktop. 3) Implement on mobile. 4) Verify map takes up appropriate screen space. 5) Test with list view toggle.,Map should be prominent like Redfin/Zillow.,,
TASK-074,UI/UX - Map,/listings,Implement map marker clustering and responsive markers,High,Planned,Both,11/30/2025,"1) Implement marker clustering when many listings are visible. 2) Test clustering at different zoom levels. 3) Verify marker sizes adapt to screen size. 4) Test marker interaction (click, hover).",Clustering improves performance and UX with many listings.,,
TASK-075,UI/UX - Map,/listings,Add Search this area auto-trigger when the map viewport changes,Medium,Planned,Both,11/30/2025,1) Detect map viewport changes. 2) Auto-trigger search for listings in viewport. 3) Verify debouncing prevents excessive API calls. 4) Test on desktop and mobile.,Auto-search improves discovery experience.,,
TASK-076,UI/UX - Map,/listings,Ensure search/filter state stays in sync with map viewport and list,High,Planned,Both,11/30/2025,1) Search for a location - verify map and list sync. 2) Pan map - verify list updates. 3) Apply filters - verify map markers update. 4) Verify state persists across page refreshes.,Map and list should always be in sync.,,
TASK-077,UI/UX - Map,/listings,"Optimize map performance (debouncing, reduced re-renders, lazy loading)",High,Planned,Both,11/30/2025,1) Profile map performance. 2) Implement debouncing for viewport changes. 3) Reduce unnecessary re-renders. 4) Implement lazy loading for markers. 5) Verify performance improvements.,Map should be smooth and responsive.,,
TASK-078,UI/UX - Mobile Navigation,/mobile-layout,"Design bottom navigation bar inspired by Redfin/Zillow with 4-5 tabs (e.g., Find Homes, Feed, Favorites, My Deals/Saved, Profile)",High,Planned,Mobile,11/30/2025,1) Design bottom navigation with appropriate tabs. 2) Verify icons are clear and intuitive. 3) Test navigation flow between tabs. 4) Verify active state is clear.,Bottom nav should follow mobile app patterns.,,
TASK-079,UI/UX - Mobile Navigation,/mobile-layout,Implement bottom navigation for mobile web (and later native mobile app),High,Planned,Mobile,11/30/2025,1) Implement bottom navigation component. 2) Add to mobile layout. 3) Test navigation between sections. 4) Verify it doesn't interfere with content. 5) Test on various mobile devices.,Bottom nav improves mobile UX significantly.,,
TASK-080,UI/UX - Mobile Navigation,/mobile-layout,Ensure each tab routes to the correct section and preserves filters/state where appropriate,Medium,Planned,Mobile,11/30/2025,1) Test navigation to each tab. 2) Verify routes are correct. 3) Test that filters/state persist when navigating. 4) Verify back button behavior.,State preservation improves UX.,,
TASK-081,UI/UX - Listing Cards,/listings /components/ListingCard,"Design property card layout (price, beds/baths, address, badges, quick actions)",High,Planned,Both,11/30/2025,"1) Design card layout matching Redfin/Zillow quality. 2) Include price, beds/baths, address prominently. 3) Add badges for featured, new, etc. 4) Add quick actions (favorite, share). 5) Verify information hierarchy is clear.",Cards should be scannable and actionable.,,
TASK-082,UI/UX - Listing Cards,/listings,Implement property card component for list view and map-linked results,High,Planned,Both,11/30/2025,1) Create property card component. 2) Use in list view. 3) Link cards to map markers. 4) Verify clicking card highlights marker. 5) Verify clicking marker highlights card.,Cards should integrate seamlessly with map.,,
TASK-083,UI/UX - Listing Detail,/listing/[id],"Update listing detail page layout with clear sections (photos, key stats, AI tools, contact options)",High,Planned,Both,11/30/2025,1) Design detail page layout. 2) Organize into clear sections. 3) Verify photos are prominent. 4) Verify key stats are easy to scan. 5) Verify AI tools and contact options are accessible.,Detail page should be well-organized like Redfin/Zillow.,,
TASK-084,UI/UX - Listing Detail,/listing/[id],"Ensure consistent use of card components on listing detail sub-sections (comps, repair estimate, notes, etc.)",Medium,Planned,Both,11/30/2025,1) Identify all sub-sections on detail page. 2) Apply card components consistently. 3) Verify visual consistency. 4) Test on mobile and desktop.,Consistency improves visual polish.,,
TASK-085,UI/UX - Animations,/listings /components,Add subtle loading animations (skeletons/fade-ins) for map and list results,Medium,Planned,Both,11/30/2025,1) Create skeleton loader components. 2) Apply to map loading. 3) Apply to list loading. 4) Verify animations are smooth. 5) Test on slow connections.,Loading states improve perceived performance.,,
TASK-086,UI/UX - Interactions,/listings,Implement marker selection animation (highlight selected property on map and in list),Medium,Planned,Both,11/30/2025,1) Click listing card - verify marker highlights. 2) Click marker - verify card highlights. 3) Verify animation is smooth. 4) Verify highlight is clear and visible.,Selection feedback improves UX.,,
TASK-087,UI/UX - Interactions,/listings /components/WatchlistButton,Implement polished favorite heart animation and state syncing,Medium,Planned,Both,11/30/2025,1) Click favorite button. 2) Verify heart animation is smooth. 3) Verify state syncs across devices. 4) Verify favorite persists after refresh. 5) Test favorite/unfavorite flow.,Favorite animation should feel delightful.,,
TASK-088,UI/UX - Animations,/app,"Implement smooth transitions when switching between tabs (e.g., fade/slide)",Low,Planned,Both,11/30/2025,1) Navigate between tabs. 2) Verify transitions are smooth. 3) Verify no jarring jumps. 4) Test on mobile and desktop.,Smooth transitions improve polish.,,
TASK-089,UI/UX - Quality,/docs,Create a UX review checklist explicitly comparing Off Axis vs. Redfin/Zillow,High,Planned,Both,11/30/2025,1) Document Redfin/Zillow UX patterns. 2) Create comparison checklist. 3) Review Off Axis against checklist. 4) Document gaps and improvements needed.,Checklist ensures we match quality standards.,,
TASK-090,UI/UX - Quality,/app,"Run a UX pass on all critical flows (search, filter, map, view listing, save, contact)",High,Planned,Both,11/30/2025,1) Test search flow end-to-end. 2) Test filter flow. 3) Test map interaction flow. 4) Test listing detail flow. 5) Test save/contact flows. 6) Document issues.,Critical flows must be polished.,,
TASK-091,UI/UX - Quality,/app,Fix identified UI/UX issues from this pass and track them individually as sub-tasks,High,Planned,Both,11/30/2025,1) Prioritize identified issues. 2) Fix high-priority issues. 3) Track fixes in task system. 4) Verify improvements. 5) Continue iterating.,Continuous improvement based on UX review.,,
TASK-092,Product & Pricing,/pricing /docs,"Document detailed feature matrix for Free, Basic, and Pro tiers (including limits and caps)",High,Planned,Both,11/30/2025,1) List all features for each tier. 2) Document limits and caps. 3) Create visual feature matrix. 4) Verify matrix is clear and accurate.,Feature matrix is foundation for pricing strategy.,,
TASK-093,Product & Pricing,/pricing /marketing,Write clear marketing copy for each tier explaining value for wholesalers and investors,High,Planned,Both,11/30/2025,1) Write value proposition for Free tier. 2) Write value proposition for Basic tier. 3) Write value proposition for Pro tier. 4) Ensure copy speaks to wholesaler and investor needs. 5) Test copy clarity with users.,Copy should clearly communicate value.,,
TASK-094,Product & Pricing,/pricing,Update pricing page UI to reflect tiers and benefits,High,Planned,Both,11/30/2025,1) Design pricing page layout. 2) Display tier comparison clearly. 3) Highlight key benefits per tier. 4) Add clear CTAs. 5) Test on mobile and desktop.,Pricing page should drive conversions.,,
TASK-095,Product & Pricing - Free Tier,/app /api,"Implement Free tier limits: searches, map interactions, AI comps per day, saved properties, notifications",High,Planned,Both,11/30/2025,1) Implement search limit tracking. 2) Implement map interaction limits. 3) Implement AI comp daily limits. 4) Implement saved property limits. 5) Implement notification limits. 6) Test limits are enforced.,Free tier limits drive upgrades.,,
TASK-096,Product & Pricing - Free Tier,/app,Add in-product messaging when a Free user hits limits (upsell to Basic/Pro),High,Planned,Both,11/30/2025,1) Detect when user hits limit. 2) Show appropriate upsell message. 3) Link to pricing page. 4) Verify message is clear and not annoying. 5) Test messaging placement.,Upsell messaging should be timely and clear.,,
TASK-097,Product & Pricing - Free Tier,/app,Ensure Free tier still delivers real value (not a demo only experience),High,Planned,Both,11/30/2025,1) Review Free tier feature set. 2) Verify users can accomplish meaningful tasks. 3) Test Free tier user journey. 4) Ensure value is clear. 5) Gather user feedback.,Free tier must deliver real value to drive adoption.,,
TASK-098,Product & Pricing - Basic Tier,/listings /filters,"Enable advanced map filters for Basic and above (price, property type, strategy tags, etc.)",Medium,Planned,Both,11/30/2025,1) Identify advanced filters. 2) Gate filters to Basic+ tiers. 3) Verify filters work correctly. 4) Test upgrade prompt for Free users.,Advanced filters add value to Basic tier.,,
TASK-099,Product & Pricing - Basic Tier,/watchlists,Increase saved property limits for Basic users,Medium,Planned,Both,11/30/2025,1) Define Basic tier saved property limit. 2) Implement limit check. 3) Verify limit is higher than Free. 4) Test limit enforcement.,Higher limits add value to Basic tier.,,
TASK-100,Product & Pricing - Basic Tier,/ai/comps,Allow 5-10 AI comps per day (configurable limit) for Basic users,Medium,Planned,Both,11/30/2025,1) Set Basic tier AI comp limit (5-10/day). 2) Implement daily limit tracking. 3) Verify limit resets daily. 4) Test limit enforcement and messaging.,AI comps are valuable feature for Basic tier.,,
TASK-101,Product & Pricing - Basic Tier,/repair-estimator,Enable repair estimator feature for Basic and above,Medium,Planned,Both,11/30/2025,1) Verify repair estimator is gated. 2) Enable for Basic+ users. 3) Show upgrade prompt for Free users. 4) Test feature access.,Repair estimator adds significant value.,,
TASK-102,Product & Pricing - Basic Tier,/tools,"Add basic wholesaler disposition tools (simple deal sheet, basic buyer export) for Basic users",Medium,Planned,Both,11/30/2025,1) Design basic deal sheet template. 2) Implement deal sheet generation. 3) Implement basic buyer export. 4) Test tools work correctly. 5) Verify Basic tier access.,Disposition tools help wholesalers close deals.,,
TASK-103,Product & Pricing - Pro Tier,/ai/tools,"Enable unlimited AI comps, ARV, and repair estimates for Pro users (with safety caps if needed)",High,Planned,Both,11/30/2025,1) Remove limits for Pro users. 2) Implement safety caps if needed. 3) Verify unlimited access works. 4) Test edge cases. 5) Monitor usage patterns.,Unlimited AI tools are key Pro differentiator.,,
TASK-104,Product & Pricing - Pro Tier,/listings /watchlists,Enable unlimited searches and saved properties for Pro,High,Planned,Both,11/30/2025,1) Remove search limits for Pro. 2) Remove saved property limits for Pro. 3) Verify unlimited access. 4) Test with high usage.,Unlimited access is key Pro value.,,
TASK-105,Product & Pricing - Pro Tier,/data-sources,Integrate off-market data sources for Pro tier (within legal limits),High,Planned,Both,11/30/2025,1) Identify legal off-market data sources. 2) Integrate data APIs. 3) Gate to Pro tier. 4) Display off-market listings. 5) Verify legal compliance.,Off-market data is high-value Pro feature.,,
TASK-106,Product & Pricing - Pro Tier,/contact-info,"Implement contact info lookup for Pro, constrained to what's legally allowed (no illegal data)",High,Planned,Both,11/30/2025,1) Research legal contact info sources. 2) Implement lookup feature. 3) Ensure legal compliance. 4) Gate to Pro tier. 5) Test lookup accuracy.,Contact info must be legally compliant.,,
TASK-107,Product & Pricing - Pro Tier,/export,Add bulk export capabilities (CSV/API) gated to Pro,Medium,Planned,Both,11/30/2025,1) Implement bulk CSV export. 2) Implement API access for bulk data. 3) Gate to Pro tier. 4) Test export functionality. 5) Verify data accuracy.,Bulk export is valuable for Pro users.,,
TASK-108,Product & Pricing - Pro Tier,/analytics/heatmap,"Enable heatmaps and investor analytics for Pro (e.g., buy box heat, activity maps)",Medium,Planned,Both,11/30/2025,1) Verify heatmap feature exists. 2) Gate to Pro tier. 3) Test Pro access. 4) Show upgrade prompt for lower tiers.,Advanced analytics are Pro differentiator.,,
TASK-109,Product & Pricing - Pro Tier,/alerts,Enable saved search alerts and advanced notifications for Pro,Medium,Planned,Both,11/30/2025,1) Implement saved search alerts. 2) Implement advanced notification preferences. 3) Gate to Pro tier. 4) Test alert delivery. 5) Test notification preferences.,Alerts drive engagement and retention.,,
TASK-110,Product & Pricing - Pro Tier,/directory,Gate access to national investor/buyer database to Pro tier,Medium,Planned,Both,11/30/2025,1) Verify directory exists. 2) Gate access to Pro. 3) Test Pro access. 4) Show upgrade prompt. 5) Verify directory is valuable.,Directory access is high-value Pro feature.,,
TASK-111,Product & Pricing - Pro Tier,/buildlink,Integrate Build Link contractor marketplace access/features for Pro,Low,Planned,Both,11/30/2025,1) Research Build Link integration. 2) Implement integration. 3) Gate to Pro tier. 4) Test access and features. 5) Verify value delivery.,Contractor marketplace adds Pro value.,,
TASK-112,Product & Pricing - Stripe,/billing /stripe,Ensure Stripe plans and metering align with tier feature matrix,High,Planned,Both,11/30/2025,1) Review Stripe plan configuration. 2) Verify plans match tier matrix. 3) Verify metering is set up correctly. 4) Test subscription creation. 5) Test plan upgrades/downgrades.,Stripe config must match feature matrix.,,
TASK-113,Product & Pricing - Stripe,/app,"Add in-product upgrade prompts at key moments (e.g., hitting comp limit, exporting, using repair estimator)",High,Planned,Both,11/30/2025,1) Identify key upgrade moments. 2) Design upgrade prompts. 3) Implement prompts. 4) Test prompt timing. 5) Verify conversion tracking.,Strategic upgrade prompts drive revenue.,,
TASK-114,Product & Pricing - Stripe,/billing,Implement downgrade/cancellation UX and ensure data access rules are correct,Medium,Planned,Both,11/30/2025,1) Design downgrade flow. 2) Design cancellation flow. 3) Implement data access rules. 4) Test downgrade/cancellation. 5) Verify data access after downgrade.,Downgrade/cancellation must be clear and fair.,,
TASK-115,Platform - Wholesaler Flows,/post,Design optimized Post a Deal workflow for wholesalers (step-by-step form),High,Planned,Both,11/30/2025,1) Design multi-step form flow. 2) Break down into logical steps. 3) Implement step navigation. 4) Test form completion flow. 5) Verify data saves correctly.,Optimized flow reduces friction for wholesalers.,,
TASK-116,Platform - Wholesaler Flows,/listing/[id],Implement simple contact buttons (call/text/email) on listing detail for wholesalers,High,Planned,Both,11/30/2025,1) Add contact buttons to listing detail. 2) Implement call functionality. 3) Implement text/SMS functionality. 4) Implement email functionality. 5) Test on mobile and desktop.,Easy contact drives deal flow.,,
TASK-117,Platform - Wholesaler Flows,/post,"Add visibility options (public, investor-only, specific buyer lists) respecting legal boundaries",Medium,Planned,Both,11/30/2025,1) Research legal boundaries for visibility options. 2) Design visibility options UI. 3) Implement visibility controls. 4) Verify legal compliance. 5) Test visibility settings.,Visibility options give wholesalers control.,,
TASK-118,Platform - Wholesaler Flows,/tools/deal-sheet,"Implement auto-generated deal sheets from listing + AI (ARV, MAO, repair summary, yield)",Medium,Planned,Both,11/30/2025,1) Design deal sheet template. 2) Pull listing data. 3) Pull AI analysis data. 4) Generate deal sheet. 5) Test generation and accuracy.,Auto-generated deal sheets save time.,,
TASK-119,Platform - Wholesaler Flows,/tools,Plan and scope an AI contract analyzer as an optional future addon (flag legal disclaimers),Low,Planned,Both,11/30/2025,1) Research contract analysis requirements. 2) Scope AI contract analyzer feature. 3) Create technical plan. 4) Estimate effort. 5) Document in roadmap.,Contract analyzer could be valuable addon.,,
TASK-120,Platform - Investor Flows,/listings,"Highlight verified/quality listings (tags, badges)",Medium,Planned,Both,11/30/2025,1) Define verification criteria. 2) Implement verification system. 3) Add tags/badges to listings. 4) Display prominently. 5) Test verification flow.,Verified listings build trust.,,
TASK-121,Platform - Investor Flows,/listings,Add filters and badges for verified seller or vetted deal where applicable,Medium,Planned,Both,11/30/2025,1) Design seller verification system. 2) Implement seller badges. 3) Add deal vetting process. 4) Add filters for verified sellers. 5) Test verification and filtering.,Verified sellers build trust with investors.,,
TASK-122,Platform - Investor Flows,/listing/[id],"Add AI-powered deal analysis widgets (cash-on-cash, cap rate, ROI scenarios)",High,Planned,Both,11/30/2025,1) Design analysis widgets. 2) Implement cash-on-cash calculator. 3) Implement cap rate calculator. 4) Implement ROI scenarios. 5) Test calculations and display.,Analysis widgets help investors evaluate deals.,,
TASK-123,Platform - Investor Flows,/analytics/heatmap,"Implement overlays/heatmaps for investor metrics (hot zip codes, rent vs. price, volume)",Medium,Planned,Both,11/30/2025,1) Identify investor metrics to display. 2) Design heatmap overlays. 3) Implement metric calculations. 4) Display on map. 5) Test heatmap visualization.,Investor heatmaps provide market insights.,,
TASK-124,Platform - Investor Flows,/investor-profile,Implement investor buy box profiles to match deals to investors,Medium,Planned,Both,11/30/2025,1) Design buy box profile system. 2) Allow investors to define criteria. 3) Implement matching algorithm. 4) Notify investors of matches. 5) Test matching accuracy.,Buy box matching improves deal flow.,,
TASK-125,Platform - Community,/social,Plan integration with Facebook groups / social presence for Off Axis Deals users,Low,Planned,Both,11/30/2025,1) Research Facebook group integration options. 2) Design integration approach. 3) Create implementation plan. 4) Estimate effort. 5) Document in roadmap.,Social integration builds community.,,
TASK-126,Platform - Community,/messages,Design and plan in-app chat/messaging for buyers and sellers (Phase 2),Medium,Planned,Both,11/30/2025,1) Review existing messaging system. 2) Design improvements. 3) Plan Phase 2 enhancements. 4) Create technical spec. 5) Estimate effort.,Messaging is critical for deal flow.,,
TASK-127,Platform - Community,/newsletter,Implement newsletter signup / email list capture inside the app,Low,Planned,Both,11/30/2025,1) Design newsletter signup UI. 2) Integrate email service. 3) Implement signup flow. 4) Test email delivery. 5) Verify list management.,Newsletter builds marketing list.,,
TASK-128,Platform - Community,/featured,Create automated Deal of the Day or Featured Deals campaign logic,Low,Planned,Both,11/30/2025,1) Design featured deals system. 2) Implement selection algorithm. 3) Create display components. 4) Test automation. 5) Verify featured deals rotate.,Featured deals drive engagement.,,
TASK-129,Platform - Community,/announcements,Set up cadence for monthly market breakdowns and in-app announcements,Low,Planned,Both,11/30/2025,1) Design announcement system. 2) Create content calendar. 3) Implement announcement delivery. 4) Test announcement display. 5) Verify cadence automation.,Announcements keep users engaged.,,
TASK-130,Platform - Growth,/analytics,"Define core metrics for Top of mind (DAU/MAU, deals posted, buyers active, time-to-first-deal)",High,Planned,Both,11/30/2025,1) Define DAU/MAU tracking. 2) Define deal posting metrics. 3) Define buyer activity metrics. 4) Define time-to-first-deal. 5) Implement tracking.,Metrics drive growth strategy.,,
TASK-131,Platform - Growth,/analytics,Add analytics events to track these behaviors,High,Planned,Both,11/30/2025,1) Implement event tracking system. 2) Add events for core metrics. 3) Test event firing. 4) Verify data collection. 5) Set up dashboards.,Event tracking enables data-driven decisions.,,
TASK-132,Platform - Growth,/referrals,"Design growth experiments (referral codes, invite flows, affiliate options)",Medium,Planned,Both,11/30/2025,1) Design referral system. 2) Design invite flows. 3) Research affiliate options. 4) Create implementation plan. 5) Estimate effort.,Growth experiments drive user acquisition.,,
TASK-133,Legal & Compliance,/legal,Document Off Axis Deals' role as a marketplace (not an agent or broker),High,Planned,Both,11/30/2025,1) Review business model documentation. 2) Document marketplace role clearly. 3) Create legal positioning document. 4) Review with legal counsel. 5) Update terms of service.,Clear legal positioning protects business.,,
TASK-134,Legal & Compliance,/legal,Draft and implement global terms of service and privacy policy aligned to this role,High,Planned,Both,11/30/2025,1) Draft terms of service. 2) Draft privacy policy. 3) Review with legal counsel. 4) Implement in app. 5) Ensure user acceptance.,Legal docs must be comprehensive and compliant.,,
TASK-135,Legal & Compliance,/ai/tools,"Add explicit disclaimers around AI tools (comps, ARV, repair estimates are estimates, not appraisals or legal advice)",High,Planned,Both,11/30/2025,1) Identify all AI tools. 2) Draft appropriate disclaimers. 3) Display disclaimers prominently. 4) Ensure user acknowledgment. 5) Test disclaimer visibility.,Disclaimers protect from legal liability.,,
TASK-136,Legal & Compliance - US,/legal,Review U.S. wholesaling regulations at a high level (state-by-state sensitivity notes),High,Planned,US,11/30/2025,1) Research U.S. wholesaling regulations. 2) Document state-by-state differences. 3) Identify high-sensitivity states. 4) Create compliance guide. 5) Review with legal counsel.,U.S. compliance is critical.,,
TASK-137,Legal & Compliance - US,/platform,"Ensure platform avoids acting as an agent (no negotiation on user's behalf, no handling of earnest money)",High,Planned,US,11/30/2025,1) Review platform functionality. 2) Ensure no agent-like behavior. 3) Remove any earnest money handling. 4) Verify compliance. 5) Document safeguards.,Platform must remain marketplace only.,,
TASK-138,Legal & Compliance - US,/listings,Add in-product disclosures about assignment fees and user responsibilities,Medium,Planned,US,11/30/2025,1) Draft assignment fee disclosure. 2) Draft user responsibility disclosure. 3) Display in appropriate locations. 4) Ensure user acknowledgment. 5) Test disclosure visibility.,Disclosures protect users and platform.,,
TASK-139,Legal & Compliance - Australia,/legal/au,Research Australian wholesaling/deal sourcing regulations (including assignment fee disclosure and Privacy Act 1988 constraints),High,Planned,Australia,11/30/2025,1) Research Australian regulations. 2) Document Privacy Act requirements. 3) Document assignment fee rules. 4) Create compliance guide. 5) Review with Australian legal counsel.,Australia expansion requires compliance research.,,
TASK-140,Legal & Compliance - Australia,/legal/au,"Identify restricted states/territories and any special rules (e.g., anti-underquoting)",High,Planned,Australia,11/30/2025,1) Research Australian states/territories. 2) Identify restrictions. 3) Document special rules. 4) Create compliance checklist. 5) Plan feature restrictions.,State-by-state compliance is critical.,,
TASK-141,Legal & Compliance - Australia,/au,Define AU-specific disclaimers and content for an /au version of the site,Medium,Planned,Australia,11/30/2025,1) Draft AU-specific disclaimers. 2) Create AU-specific content. 3) Implement /au version. 4) Test content display. 5) Verify compliance.,AU version must be compliant.,,
TASK-142,Legal & Compliance - Australia,/au,"Ensure AU features keep Off Axis as a marketplace (no escrow, no brokering, no valuations claimed as certified)",High,Planned,Australia,11/30/2025,1) Review AU feature set. 2) Ensure marketplace-only functionality. 3) Remove any brokering features. 4) Verify no certified valuations. 5) Test compliance.,AU must remain marketplace only.,,
TASK-143,Legal & Compliance - UK,/legal/uk,"Research UK deal sourcing regulations (Property Ombudsman, Estate Agents Act 1979, National Trading Standards)",High,Planned,UK,11/30/2025,1) Research UK regulations. 2) Document Property Ombudsman requirements. 3) Document Estate Agents Act requirements. 4) Create compliance guide. 5) Review with UK legal counsel.,UK expansion requires compliance research.,,
TASK-144,Legal & Compliance - UK,/legal/uk,"Determine requirements for AML registration, client money protection, and disclosure",High,Planned,UK,11/30/2025,1) Research AML requirements. 2) Research client money protection. 3) Document disclosure requirements. 4) Create compliance plan. 5) Estimate registration costs.,UK has strict regulatory requirements.,,
TASK-145,Legal & Compliance - UK,/uk,Define UK-specific flows and disclaimers for /uk,Medium,Planned,UK,11/30/2025,1) Draft UK-specific disclaimers. 2) Create UK-specific flows. 3) Implement /uk version. 4) Test flows and disclaimers. 5) Verify compliance.,UK version must be compliant.,,
TASK-146,Legal & Compliance - UK,/uk,"Ensure UK presence is limited to marketplace functionality (no brokering, no holding client money)",High,Planned,UK,11/30/2025,1) Review UK feature set. 2) Ensure marketplace-only functionality. 3) Remove any brokering features. 4) Verify no client money handling. 5) Test compliance.,UK must remain marketplace only.,,
TASK-147,Legal & Compliance,/docs,"Add internal rules: no negotiating deals, no handling deposits/escrow, no representing parties as an agent",High,Planned,Both,11/30/2025,1) Document internal rules. 2) Create compliance checklist. 3) Train team on rules. 4) Implement safeguards in code. 5) Review regularly.,Internal rules prevent compliance violations.,,
TASK-148,Legal & Compliance,/marketing,Ensure marketing copy does not claim official valuations or legal/financial advice,High,Planned,Both,11/30/2025,1) Review all marketing copy. 2) Remove valuation claims. 3) Remove advice claims. 4) Add appropriate disclaimers. 5) Test copy compliance.,Marketing copy must be compliant.,,
TASK-149,Legal & Compliance,/docs,"Document allowed features: user-created listings, lead selling, analytics/comps, in-app messaging, educational content, calculators, and deal sheets",High,Planned,Both,11/30/2025,1) List all allowed features. 2) Document why each is allowed. 3) Create feature compliance guide. 4) Review with legal counsel. 5) Update platform accordingly.,Clear documentation of allowed features.,,
TASK-150,Legal & Compliance,/platform,Make sure product design for AU/UK only uses allowed features,High,Planned,Australia UK,11/30/2025,1) Review AU/UK feature set. 2) Verify only allowed features. 3) Remove any non-compliant features. 4) Test feature availability. 5) Document compliance.,AU/UK must use only compliant features.,,
TASK-151,Roadmap - Phase 1,/app,"Phase 1: Perfect U.S. web MVP (fix UX, ensure stability, polish critical flows)",High,Planned,US,11/30/2025,1) Complete all Phase 1 tasks. 2) Fix critical UX issues. 3) Ensure platform stability. 4) Polish all critical flows. 5) Conduct comprehensive testing. 6) Gather user feedback.,Phase 1 establishes foundation for growth.,,
TASK-152,Roadmap - Phase 1,/app,Phase 1 Sub-task: Fix all critical bugs and stability issues,High,Planned,US,11/30/2025,1) Identify critical bugs. 2) Prioritize fixes. 3) Fix all critical bugs. 4) Test fixes. 5) Verify stability improvements.,Stability is foundation for everything else.,,
TASK-153,Roadmap - Phase 1,/app,Phase 1 Sub-task: Implement Redfin/Zillow-level UI/UX polish,High,Planned,US,11/30/2025,1) Complete UI/UX foundation tasks. 2) Apply design system. 3) Polish all pages. 4) Test on all devices. 5) Gather user feedback.,UI/UX polish drives trust and adoption.,,
TASK-154,Roadmap - Phase 1,/app,Phase 1 Sub-task: Ensure all critical flows work flawlessly,High,Planned,US,11/30/2025,1) Test search flow. 2) Test listing creation flow. 3) Test contact/messaging flow. 4) Test payment/subscription flow. 5) Fix any issues.,Critical flows must work perfectly.,,
TASK-155,Roadmap - Phase 2,/mobile,Phase 2: Build production-ready iOS/Android apps (reusing Supabase and core logic),High,Planned,Both,11/30/2025,"1) Choose mobile framework (React Native, Flutter, etc.). 2) Set up mobile project. 3) Reuse Supabase backend. 4) Build core features. 5) Test on iOS and Android. 6) Release to app stores.",Mobile apps drive user engagement.,,
TASK-156,Roadmap - Phase 2,/mobile,Phase 2 Sub-task: Set up mobile development environment and project structure,High,Planned,Both,11/30/2025,1) Choose mobile framework. 2) Set up development environment. 3) Create project structure. 4) Integrate Supabase. 5) Set up build pipeline.,Mobile project setup is foundation.,,
TASK-157,Roadmap - Phase 2,/mobile,"Phase 2 Sub-task: Build core mobile features (listings, search, map, messaging)",High,Planned,Both,11/30/2025,1) Build listings view. 2) Build search. 3) Build map. 4) Build messaging. 5) Test all features. 6) Optimize performance.,Core features enable mobile usage.,,
TASK-158,Roadmap - Phase 2,/mobile,Phase 2 Sub-task: Implement push notifications and native features,Medium,Planned,Both,11/30/2025,"1) Set up push notifications. 2) Implement native features (camera, location). 3) Test notifications. 4) Test native features. 5) Optimize battery usage.",Native features improve mobile UX.,,
TASK-159,Roadmap - Phase 3,/ai,"Phase 3: Add advanced AI features that wholesalers care about (comps, ARV, repair estimator, buy-box matching)",High,Planned,Both,11/30/2025,1) Enhance AI comps accuracy. 2) Improve ARV calculations. 3) Expand repair estimator. 4) Implement buy-box matching. 5) Test all AI features. 6) Gather user feedback.,AI features differentiate platform.,,
TASK-160,Roadmap - Phase 3,/ai/comps,Phase 3 Sub-task: Enhance AI comps with more data sources and accuracy improvements,High,Planned,Both,11/30/2025,1) Identify additional data sources. 2) Integrate new sources. 3) Improve matching algorithm. 4) Test accuracy improvements. 5) Verify performance.,Better comps drive user value.,,
TASK-161,Roadmap - Phase 3,/ai/arv,Phase 3 Sub-task: Improve ARV calculations with machine learning models,High,Planned,Both,11/30/2025,1) Research ML models for ARV. 2) Train/implement models. 3) Test accuracy. 4) Compare to market data. 5) Iterate on improvements.,Accurate ARV is critical for wholesalers.,,
TASK-162,Roadmap - Phase 3,/ai/repair-estimator,Phase 3 Sub-task: Expand repair estimator with more categories and line-item detail,Medium,Planned,Both,11/30/2025,1) Add more repair categories. 2) Implement line-item breakdown. 3) Improve cost estimates. 4) Test accuracy. 5) Gather contractor feedback.,Detailed repair estimates add value.,,
TASK-163,Roadmap - Phase 4,/directory,"Phase 4: Build and grow the directory (cash buyers, investors, contractors, title companies, hard money lenders)",High,Planned,Both,11/30/2025,1) Design directory structure. 2) Build directory UI. 3) Onboard initial providers. 4) Implement search/filtering. 5) Add provider profiles. 6) Grow directory organically.,Directory adds network effects.,,
TASK-164,Roadmap - Phase 4,/directory,Phase 4 Sub-task: Build directory UI and provider profile pages,High,Planned,Both,11/30/2025,1) Design directory UI. 2) Build provider profile pages. 3) Implement search/filtering. 4) Add provider verification. 5) Test directory functionality.,Directory UI enables discovery.,,
TASK-165,Roadmap - Phase 4,/directory,"Phase 4 Sub-task: Onboard initial providers (cash buyers, contractors, title companies, lenders)",High,Planned,Both,11/30/2025,1) Identify target providers. 2) Create onboarding process. 3) Reach out to providers. 4) Onboard initial set. 5) Gather feedback.,Initial providers seed directory.,,
TASK-166,Roadmap - Phase 4,/directory,"Phase 4 Sub-task: Implement provider search, filtering, and matching",Medium,Planned,Both,11/30/2025,1) Implement search functionality. 2) Add filtering options. 3) Implement matching algorithm. 4) Test search accuracy. 5) Optimize performance.,Search enables directory utility.,,
